scoring,n,diff,dz,p,tost_p
endpoint,12,-0.9027777777777772,-0.11082589603653296,0.7083606809583741,0.001306998355652407
early,12,0.49999999999999956,0.05781489389048079,0.8449188693142655,0.0014583066292644393
averaged,12,-0.2013888888888896,-0.02505612495686509,0.9323927467798966,0.0007144274945088772
