metric,contrast,n,mean_a,mean_b,diff,ci_lo,ci_hi,dz,t,p_raw,p_perm,p_perm_floor,at_resolution_floor,sesoi,tost_p,direction_favours_treatment,subscale,p_holm
rtlx,C2 vs C0,12,31.666666666666668,19.083333333333332,-12.583333333333334,-19.28262028985955,-5.8840463768071185,-1.1934208248519185,-4.134131006908562,0.0016604593019431488,0.0009765625,0.00048828125,False,10.0,0.7929396422971827,True,Mental Demand,0.0107421875
rtlx,C2 vs C1,12,19.0,19.083333333333332,0.08333333333333333,-9.971720081014071,10.13838674768074,0.005265757600916371,0.01824111941025831,0.9857731612367349,1.0,0.00048828125,False,10.0,0.026356698754138697,False,Mental Demand,1.0
rtlx,C2 vs C0,12,32.75,16.416666666666668,-16.333333333333332,-24.538902942651,-8.127763724015663,-1.2647147470765367,-4.381100398036367,0.001097101938517263,0.00146484375,0.00048828125,False,10.0,0.9412856682047881,True,Physical Demand,0.01318359375
rtlx,C2 vs C1,12,21.166666666666668,16.416666666666668,-4.75,-11.625910646711564,2.1259106467115645,-0.438924554126356,-1.5204792568727286,0.15660082798031533,0.171875,0.00048828125,False,10.0,0.060498318861187464,True,Physical Demand,0.859375
rtlx,C2 vs C0,12,41.5,30.416666666666668,-11.083333333333334,-15.345163983220125,-6.821502683446543,-1.6523448754981183,-5.7238905519776235,0.00013340265078922163,0.0009765625,0.00048828125,False,10.0,0.7064767847567051,True,Temporal Demand,0.0107421875
rtlx,C2 vs C1,12,30.0,30.416666666666668,0.4166666666666667,-6.144238003531945,6.977571336865279,0.04035074170847321,0.13977906952432842,0.8913610490128108,1.0,0.00048828125,False,10.0,0.004116581481367969,False,Temporal Demand,1.0
rtlx,C2 vs C0,12,30.25,18.5,-11.75,-17.216495971551723,-6.283504028448278,-1.3657000508162502,-4.730923751826286,0.0006184347369323568,0.001953125,0.00048828125,False,10.0,0.7521483074625335,True,Performance,0.015625
rtlx,C2 vs C1,12,17.083333333333332,18.5,1.4166666666666667,-7.225118451543767,10.0584517848771,0.10415753744616786,0.36081229369604123,0.7250732837368533,0.751953125,0.00048828125,False,10.0,0.02565822091661911,False,Performance,1.0
rtlx,C2 vs C0,12,42.666666666666664,18.5,-24.166666666666668,-34.19751063027465,-14.13582270305869,-1.5307552883417457,-5.302691866725301,0.00025137047961394193,0.00048828125,0.00048828125,True,10.0,0.995023742926967,True,Effort,0.005859375
rtlx,C2 vs C1,12,23.916666666666668,18.5,-5.416666666666667,-9.79739569773051,-1.0359376356028243,-0.7856194213268933,-2.721465506302079,0.019879312217408133,0.03125,0.00048828125,False,10.0,0.020913475561472182,True,Effort,0.1875
rtlx,C2 vs C0,12,39.333333333333336,16.583333333333332,-22.75,-33.5330065879985,-11.966993412001502,-1.34050371469309,-4.643641083166493,0.0007124119943108422,0.001953125,0.00048828125,False,10.0,0.9877074885484419,True,Frustration,0.015625
rtlx,C2 vs C1,12,13.75,16.583333333333332,2.8333333333333335,-6.373383841676278,12.040050508342945,0.1955326833531844,0.6773450842159852,0.5121810919780155,0.5546875,0.00048828125,False,10.0,0.05733257312372789,False,Frustration,1.0
