family,omnibus_F,omnibus_p,metric,contrast,n,mean_a,mean_b,diff,ci_lo,ci_hi,dz,t,p_raw,p_perm,p_perm_floor,at_resolution_floor,sesoi,tost_p,direction_favours_treatment,primary_test,p_holm,sensitivity_test,p_holm_sensitivity,tost_run,tost_gate,equivalent,verdict
H2 workload,28.883488777774055,4.999750012499375e-05,rtlx,C2 vs C0,12,36.361111111111114,19.916666666666668,-16.444444444444446,-20.65110123126881,-12.23778765762008,-2.4837542149190246,-8.603976987506199,3.248457796763054e-06,0.00048828125,0.00048828125,True,10.0,0.9968839875926692,True,sign-flip permutation,0.0009765625,paired t,6.496915593526108e-06,True,unconditional,False,"differs, favours C2"
H2 workload,28.883488777774055,4.999750012499375e-05,rtlx,C2 vs C1,12,20.819444444444443,19.916666666666668,-0.9027777777777772,-6.0784420846707565,4.272886529115203,-0.11082589603653296,-0.3839121654592427,0.7083606809583741,0.6982421875,0.00048828125,False,10.0,0.001306998355652407,True,sign-flip permutation,0.6982421875,paired t,0.7083606809583741,True,unconditional,True,equivalent within SESOI
